Order Number at CW;Article Number;Order Line Number;Material;Material;Route;Route;Route Serial Number;Timestamp for Picking;Box number;Area;Station;Number of lots-white;Number of lots-Green;No. of picks;Quantity
150412;5413550074;36;1000425496;FITTING HG42-S-M40 BK 2P;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;5413551426;35;1000425631;FITTING HG42-90-M40 BK 2P;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;6
150412;5421220396;37;1000429274;2,5 SQUARE MM BLOCK SPRING 1492-L3T;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;50
150412;5421221696;38;1000429367;1,5 SQUARE MM BLOCK SPRING 1492-LS2-3;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;20
150412;5421221735;39;1000429371;2,5 SQUARE MM BLOCK SPRING 1492-LS2-B;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;20
150412;5421221748;40;1000429372;1,5 SQUARE MM BLOCK SPRING 1492-LS2-BR;9J;9J;Not assigned;14:01:34;200006125;29;23;3;11;1;20
150412;5421222404;41;1000429403;10 POLE PUSH-IN JUMPER 1492-CJK5-10;9J;9J;Not assigned;14:01:34;200006125;27;23;3;11;1;10
150412;5421900001;26;1000430301;MOUNTING KIT, KE61.03 + KE61.2 + KE61.3;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;5478530518;25;1000644657;SOCKET FOR CONTROL PANEL WITH LED;9J;9J;Not assigned;14:01:27;200006125;27;23;3;11;1;1
150412;7512404003;56;1000089059;FILTERFAN 38M3/H 230V IP54;9J;9J;Not assigned;14:01:44;200006125;27;23;3;11;1;1
150412;7512404362;55;1000088970;OUTLET GRID CUT-OUT 92X92MM;9J;9J;Not assigned;14:01:44;200006125;27;23;3;11;1;1
150412;7517800000;30;1000015696;PUSHBUTTON XB4BA21;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;2
150412;7517800071;32;1000063674;BLACK SELEC TO R SWITCH DIAM 22 HANDLE 3;9J;9J;Not assigned;14:01:31;200006125;29;23;3;11;1;2
150412;7517800327;31;1000005300;EMERG.STOP 40MM RED XB4BS8445;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;7517800783;33;1000045443;ILLUM PB SPRING RET 1NO+1NC 24V ORANGE;9J;9J;Not assigned;14:01:31;200006125;29;23;3;11;1;1
150412;7517801012;29;1000058581;ILLUM PB SPRING RETURN 1NO+1NC 24V BLUE;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;7517809218;27;1000027180;LEGEND CARRIER ZBZ33;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;6
150412;7517815972;28;1000713388;EMERGENCY STOP 3D LEGEND PLATE;9J;9J;Not assigned;14:01:28;200006125;29;23;3;11;1;1
150412;7519400369;15;1000027734;MAIN EMERGENCY SWITCH 40A 3 POLE VCF-2;9J;9J;Not assigned;14:01:20;200006125;29;23;3;11;1;1
150412;7522408439;20;1000013262;CONTACTOR 18A 230V AC LC1D18P7;9J;9J;Not assigned;14:01:23;200006125;21;23;3;11;1;1
150412;7522505675;21;1000021024;MINIATURE RELAY 2CO LED 24VDC RXM2AB2BD;9J;9J;Not assigned;14:01:23;200006125;27;23;3;11;1;4
150412;7522506687;23;1000073446;SIMPLE SOCKET MIXED TERMINATIONS 4CO;9J;9J;Not assigned;14:01:26;200006125;27;23;3;11;1;4
150412;7522601537;22;1000015784;DIODEMODULE /LED 24-60 RZM031BN;9J;9J;Not assigned;14:01:23;200006125;29;23;3;11;1;4
150412;7524681254;57;1000078573;M12 STRAI.CONNECT. 4 PINS XZCC12FDM40B;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;7524682185;13;1000072294;RECT.MAGNETIC. SENS. XCSDMP7002;9J;9J;Not assigned;14:01:19;200006125;29;23;3;11;1;1
150412;7548001399;34;1000045424;ORANGE STROBE 5J ORANGE STRO;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;7563100343;24;1000018126;OPTIMUM POWER SUPPLY ABL8REM24050;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;7565703609;6;1000253729;CANOPEN KABEL 0,3 M.RJ45;9J;9J;Not assigned;14:01:14;200006125;27;23;3;11;1;4
150412;7565706567;8;1000253730;CANOPEN CABEL 1 M, 2XRJ45;9J;9J;Not assigned;14:01:15;200006125;27;23;3;11;1;2
150412;7565800984;5;1000473380;ELECTRONIC OPTION CARD CANOPEN 2XRJ45 AT;9J;9J;Not assigned;14:01:13;200006125;27;23;3;11;1;5
150412;7586005454;7;1000473513;CANOPEN RJ45 LINE TERMINATION;9J;9J;Not assigned;14:01:14;200006125;29;23;3;11;1;2
150412;7586029524;9;1000065519;CONNEXIUM UNMANAGE SWITCH 5TX 10/100 UTP;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;7586044321;1;1000044391;DIG 16I 24 VDC SINK;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;7586044444;2;1000080298;ANA 2 U/I OUT ISOLATED;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;7586044790;3;1000078022;1PRING TERMINAL STRIP 20 POINTS;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;3
150412;7586296030;14;1000685477;CONTROLLER 8 INPUT 2 OUTPUT SCREW TERM;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;7613020496;42;1000018030;GLAND M16 (5-9) BRASS;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;10
150412;7613020506;43;1000000850;GLAND M20 (9-13) BRASS;9J;9J;Not assigned;14:01:35;200006125;21;23;3;11;1;10
150412;7613020519;44;1000069637;GLAND M25 (11-16) BRASS;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;10
150412;7613020522;45;1000069253;GLAND M32 (14-21) BRASS;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;5
150412;7624813058;12;1000475492;CORDSET/PATCHCORD, M12X5 FEMALE 10M;9J;9J;Not assigned;14:01:19;200006125;27;23;3;11;1;1
150412;7921130010;54;1000084402;TSTW M6 16400 MOUNTING;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;8
150412;813101604;46;1000028889;MEMBRANE GLAND VET-C 10-14 CR BLACK;9J;9J;Not assigned;14:01:38;200006125;27;23;3;11;1;21
150412;821101476;48;1000389673;ENDTERMINAL GREY 0.75MM/8.2;9J;9J;Not assigned;14:01:39;200006125;21;23;3;11;1;300
150412;821101489;53;1000006819;ENDTERMINAL RED 1.0MM/8.2;9J;9J;Not assigned;14:01:43;200006125;29;23;3;11;1;100
150412;821101492;49;1000389674;ENDTERMINAL BLACK 1.5MM/8.2;9J;9J;Not assigned;14:01:39;200006125;21;23;3;11;1;100
150412;821101557;51;1000389677;ENDTERMINAL ORANGE 0.50MM/8.0;9J;9J;Not assigned;14:01:42;200006125;29;23;3;11;1;200
150412;821101654;47;1000004961;ENDTERMINAL GREY 2X0,75MM/8.0;9J;9J;Not assigned;14:01:38;200006125;29;23;3;11;1;100
150412;821101696;52;1000389685;ENDTERMINAL ORANGE 2X0,50MM/8.0;9J;9J;Not assigned;14:01:42;200006125;29;23;3;11;1;100
150412;821101719;50;1000046181;ENDTERMINAL YELLOW 2X1.00MM/8.0;9J;9J;Not assigned;14:01:40;200006125;29;23;3;11;1;100
150412;886111692;10;1200005347;PATCH CORD CAT6A S/FTP LSZH 0,5M GREY;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150412;886111773;11;1200005355;PATCH CORD CAT6A S/FTP LSZH 10,0M GREY;9J;9J;Not assigned;15:34:09;200006125;28;23;3;11;1;1
150415;5652001708;4;1000218469;A3 POWERSTAR HQI-TS 2000W/N/L;7C;7C;28;10:40:52;200020999;28;20;0;4;1;10
150417;2617013352;12;1000057892;ACTUATOR WITH ONE CONTACT, 1 NC;9L;9L;Not assigned;13:05:19;200025039;28;23;2;5;1;30
150417;2617014131;13;1000081958;MUSHROOM PUSHB. 40 MM, ROUND, M.PLASTIC;9L;9L;Not assigned;13:05:19;200025039;29;23;2;5;1;10
150417;2619712729;15;1000410909;MAIN SWITCH 25A 400V/9.5KW 3LD2164-1TC51;9L;9L;Not assigned;11:05:00;200055566;28;23;2;5;1;4
